MA0259.1	MA0259.1_ARNT::HIF1A	ARNT,HIF1A
MA0442.2	MA0442.2_SOX10	SOX10
MA0461.2	MA0461.2_Atoh1	ATOH1
MA0462.1	MA0462.1_BATF::JUN	BATF,JUN
MA0463.1	MA0463.1_Bcl6	BCL6
MA0464.2	MA0464.2_BHLHE40	BHLHE40
MA0465.1	MA0465.1_CDX2	CDX2
MA0466.2	MA0466.2_CEBPB	CEBPB
MA0467.1	MA0467.1_Crx	CRX
MA0468.1	MA0468.1_DUX4	DUX4
MA0469.2	MA0469.2_E2F3	E2F3
MA0470.1	MA0470.1_E2F4	E2F4
MA0471.1	MA0471.1_E2F6	E2F6
MA0472.2	MA0472.2_EGR2	EGR2
MA0473.2	MA0473.2_ELF1	ELF1
MA0474.2	MA0474.2_ERG	ERG
MA0475.2	MA0475.2_FLI1	FLI1
MA0476.1	MA0476.1_FOS	FOS
MA0477.1	MA0477.1_FOSL1	FOSL1
MA0478.1	MA0478.1_FOSL2	FOSL2
MA0479.1	MA0479.1_FOXH1	FOXH1
MA0480.1	MA0480.1_Foxo1	FOXO1
MA0481.2	MA0481.2_FOXP1	FOXP1
MA0482.1	MA0482.1_Gata4	GATA4
MA0483.1	MA0483.1_Gfi1b	GFI1B
MA0484.1	MA0484.1_HNF4G	HNF4G
MA0485.1	MA0485.1_Hoxc9	HOXC9
MA0486.2	MA0486.2_HSF1	HSF1
MA0488.1	MA0488.1_JUN	JUN
MA0489.1	MA0489.1_JUN_var.2	JUN
MA0490.1	MA0490.1_JUNB	JUNB
MA0491.1	MA0491.1_JUND	JUND
MA0492.1	MA0492.1_JUND_var.2	JUND
MA0493.1	MA0493.1_Klf1	KLF1
MA0494.1	MA0494.1_Nr1h3::Rxra	NR1H3,RXRA
MA0495.2	MA0495.2_MAFF	MAFF
MA0496.2	MA0496.2_MAFK	MAFK
MA0497.1	MA0497.1_MEF2C	MEF2C
MA0498.2	MA0498.2_MEIS1	MEIS1
MA0499.1	MA0499.1_Myod1	MYOD1
MA0500.1	MA0500.1_Myog	MYOG
MA0501.1	MA0501.1_MAF::NFE2	MAF,NFE2
MA0502.1	MA0502.1_NFYB	NFYB
MA0503.1	MA0503.1_Nkx2-5_var.2	NKX2-5
MA0504.1	MA0504.1_NR2C2	NR2C2
MA0505.1	MA0505.1_Nr5a2	NR5A2
MA0506.1	MA0506.1_NRF1	NRF1
MA0507.1	MA0507.1_POU2F2	POU2F2
MA0508.2	MA0508.2_PRDM1	PRDM1
MA0509.1	MA0509.1_Rfx1	RFX1
MA0510.2	MA0510.2_RFX5	RFX5
MA0511.2	MA0511.2_RUNX2	RUNX2
MA0512.2	MA0512.2_Rxra	RXRA
MA0513.1	MA0513.1_SMAD2::SMAD3::SMAD4	SMAD2,SMAD3,SMAD4
MA0514.1	MA0514.1_Sox3	SOX3
MA0515.1	MA0515.1_Sox6	SOX6
MA0516.1	MA0516.1_SP2	SP2
MA0517.1	MA0517.1_STAT1::STAT2	STAT1,STAT2
MA0518.1	MA0518.1_Stat4	STAT4
MA0519.1	MA0519.1_Stat5a::Stat5b	STAT5A,STAT5B
MA0520.1	MA0520.1_Stat6	STAT6
MA0521.1	MA0521.1_Tcf12	TCF12
MA0522.2	MA0522.2_TCF3	TCF3
MA0523.1	MA0523.1_TCF7L2	TCF7L2
MA0524.2	MA0524.2_TFAP2C	TFAP2C
