ALX1	ALX4_HUMAN.H11MO.0.D	2	ALX4
ALX3	VSX1_HUMAN.H11MO.0.D	3.16227766016838	VSX1
ALX4	ALX3_HUMAN.H11MO.0.D	1.41421356237309	ALX3
AR	NFAT5_HUMAN.H11MO.0.D	41.2902270571232	NFAT5
ARNTL	SPIC_HUMAN.H11MO.0.D	1	SPIC
ARX	ALX3_HUMAN.H11MO.0.D	2.23606797749979	ALX3
ASCL2	PO3F3_HUMAN.H11MO.0.D	1	POU3F3
ATF4	PO3F3_HUMAN.H11MO.0.D	21.1068709192054	POU3F3
ATF7	SPIC_HUMAN.H11MO.0.D	1	SPIC
ATOH1	SPIC_HUMAN.H11MO.0.D	1	SPIC
BARHL1	BARH2_HUMAN.H11MO.0.D	1	BARHL2
BARHL2	BARH2_HUMAN.H11MO.0.D	1	BARHL2
BARX1	ZBT49_HUMAN.H11MO.0.D	1	ZBTB49
BATF3	TBX15_HUMAN.H11MO.0.D	1	TBX15
BCL6B	E2F8_HUMAN.H11MO.0.D	1	E2F8
BHLHA15	OLIG1_HUMAN.H11MO.0.D	1	OLIG1
BHLHE22	BHE23_HUMAN.H11MO.0.D	1	BHLHE23
BHLHE23	SPIC_HUMAN.H11MO.0.D	1	SPIC
BHLHE40	MLX_HUMAN.H11MO.0.D	1.91293118277239	MLX
BHLHE41	BHE40_HUMAN.H11MO.0.A	3	BHLHE40
BSX	BSH_HUMAN.H11MO.0.D	1	BSX
CDX1	NKX62_HUMAN.H11MO.0.D	1	NKX6-2
CDX2	CPEB1_HUMAN.H11MO.0.D	1	CPEB1
CEBPB	CEBPB_HUMAN.H11MO.0.A	5.21710344627617	CEBPB
CEBPD	CEBPA_HUMAN.H11MO.0.A	1	CEBPA
CEBPE	CEBPB_HUMAN.H11MO.0.A	1	CEBPB
CEBPG	NFIL3_HUMAN.H11MO.0.D	1.73205080756888	NFIL3
CENPB	CENPB_HUMAN.H11MO.0.D	1	CENPB
CLOCK	EGR2_HUMAN.H11MO.0.A	1	EGR2
CPEB1	CPEB1_HUMAN.H11MO.0.D	1	CPEB1
CREB3	IRX2_HUMAN.H11MO.0.D	1	IRX2
CREB3L1	CR3L2_HUMAN.H11MO.0.D	1.25992104989487	CREB3L2
CREB3L2	ZFP82_HUMAN.H11MO.0.C	1	ZFP82
CREB5	SPIC_HUMAN.H11MO.0.D	1	SPIC
CTCF	CTCF_HUMAN.H11MO.0.A	1	CTCF
CUX1	HNF6_HUMAN.H11MO.0.B	1	ONECUT1
CUX2	CUX1_HUMAN.H11MO.0.C	1	CUX1
DBP	DBP_HUMAN.H11MO.0.B	1.5874010519682	DBP
DLX1	DLX6_HUMAN.H11MO.0.D	3.08220700148449	DLX6
DLX2	DLX6_HUMAN.H11MO.0.D	1	DLX6
DLX3	DLX6_HUMAN.H11MO.0.D	1	DLX6
DLX4	DLX6_HUMAN.H11MO.0.D	1	DLX6
DLX5	DLX4_HUMAN.H11MO.0.D	1	DLX4
DLX6	DLX6_HUMAN.H11MO.0.D	1	DLX6
DMBX1	VEZF1_HUMAN.H11MO.0.C	1	VEZF1
DPRX	DPRX_HUMAN.H11MO.0.D	1	DPRX
DRGX	PHX2A_HUMAN.H11MO.0.D	1	PHOX2A
DUXA	PHX2B_HUMAN.H11MO.0.D	1	PHOX2B
E2F1	VEZF1_HUMAN.H11MO.0.C	1	VEZF1
E2F2	SPIC_HUMAN.H11MO.0.D	1	SPIC
E2F3	VEZF1_HUMAN.H11MO.0.C	1	VEZF1
E2F4	HME2_HUMAN.H11MO.0.D	1	EN2
E2F7	VEZF1_HUMAN.H11MO.0.C	1	VEZF1
E2F8	ZN467_HUMAN.H11MO.0.C	1	ZNF467
EBF1	EGR2_HUMAN.H11MO.0.A	1	EGR2
EGR1	TBX15_HUMAN.H11MO.0.D	1.7099759466767	TBX15
EGR2	EGR1_HUMAN.H11MO.0.A	2	EGR1
EGR3	EGR2_HUMAN.H11MO.0.A	2.44948974278318	EGR2
EGR4	EGR2_HUMAN.H11MO.0.A	1.73205080756888	EGR2
ELF1	NFAC1_HUMAN.H11MO.0.B	6.557438524302	NFATC1
ELF3	ELF5_HUMAN.H11MO.0.A	1	ELF5
