Alx1_TAAAGC20NCG_Z	ALX4_HUMAN.H11MO.0.D	ALX1	ALX4	0.9955
ALX3_TGCAAG20NGA_AE	ALX3_HUMAN.H11MO.0.D	ALX3	ALX3	0.6275
ALX3_TGTAAA20NAAG_Z	VSX1_HUMAN.H11MO.0.D	ALX3	VSX1	0.9812
Alx4_TGGTAG20NCG_P	UNC4_HUMAN.H11MO.0.D	ALX4	UNCX	0.9821
ALX4_TGTGTC20NGA_W	ALX3_HUMAN.H11MO.0.D	ALX4	ALX3	0.9867
ARNTL_TCAAAA20NCG_W	SPIC_HUMAN.H11MO.0.D	ARNTL	SPIC	0.5686
Ar_TCTAAT20NCG_P	GCR_HUMAN.H11MO.0.A	AR	NR3C1	0.9168
AR_TCTTCT20NCTG_AD	VEZF1_HUMAN.H11MO.0.C	AR	VEZF1	0.7381
AR_TGCTCG20NGA_AF	CPEB1_HUMAN.H11MO.0.D	AR	CPEB1	0.5686
Arx_TCGCAT20NACT_AC	ALX3_HUMAN.H11MO.0.D	ARX	ALX3	0.9812
ARX_TGCGTT20NTGC_Z	PHX2A_HUMAN.H11MO.0.D	ARX	PHOX2A	0.9987
Ascl2_TAGGGC20NCG_Z	PO3F3_HUMAN.H11MO.0.D	ASCL2	POU3F3	0.5605
Atf4_TGCCGC20NGA_Z	PO3F3_HUMAN.H11MO.0.D	ATF4	POU3F3	0.5399
ATF4_TGGAAT20NGA_W	EGR2_HUMAN.H11MO.0.A	ATF4	EGR2	0.5679
ATF7_TGGGCG30NCGT_AI	SPIC_HUMAN.H11MO.0.D	ATF7	SPIC	0.6512
Atoh1_TAGTCC20NCTT_Z	SPIC_HUMAN.H11MO.0.D	ATOH1	SPIC	0.579
Barhl1_TCAGTC20NCG_AC	BARH2_HUMAN.H11MO.0.D	BARHL1	BARHL2	0.8066
BARHL2_TATTGT20NGTG_AC	BARH2_HUMAN.H11MO.0.D	BARHL2	BARHL2	0.8575
BARHL2_TCCAGT40NGAC_AI	BARH2_HUMAN.H11MO.0.D	BARHL2	BARHL2	0.7288
BARX1_TATTCG20NCTG_AC	ZBT49_HUMAN.H11MO.0.D	BARX1	ZBTB49	0.9209
